Nama,Nilai_Ujian
Ouzen (オーゼン),67.94
"Yuigahama, Yui (由比ヶ浜 結衣)",70.16
Hiei (飛影),69.63
Dabi (荼毘),68.36
"Nikiforov, Victor (ヴィクトル・ニキフォロフ)",67.75
"Enoshima, Junko (江ノ島 盾子)",65.74
Zeke (ジーク),65.08
"Cha, Hae-In (차해인)",66.27
"Toga, Himiko (渡我 被身子)",66.61
"Kishibe, Rohan (岸辺 露伴)",68.47
"Miyamura, Izumi (宮村 伊澄)",68.75
"Hijikata, Toushirou (土方 十四郎)",67.7
"Forger, Anya (アーニャ・フォージャー)",70.03
"River, Nate (ネイト・リバー)",68.22
"Uchiha, Madara (うちはマダラ)",70.89
"Kusakabe, Shinra (森羅 日下部)",65.12
"Spiegel, Spike (スパイク・スピーゲル)",72.09
Ikaros (イカロス),67.66
"Wong Hau Pepelu Tivrusky IV, Edward (エドワード・ウォン・ハウ・ペペル・チブルスキー4世)",67.59
"Yuuki, Asuna (結城 明日奈 / アスナ)",70.93
"Ootori, Kyouya (鳳 鏡夜)",68.05
"Watanabe, You (渡辺 曜)",63.44
"Takahashi, Ryousuke (高橋 涼介)",63.35
"Hiiragi, Shinoa (柊 シノア)",72.14
"Uenoyama, Ritsuka (上ノ山 立夏)",66.21
"Matsuno, Chifuyu (松野 千冬)",69.48
"Kurogane, Ikki (黒鉄 一輝)",64.49
Raphtalia (ラフタリア),67.72
"Ootani, Atsushi (大谷敦士)",64.79
Lancer (ランサー),63.81
"Kyan, Reki (喜屋武 暦)",66.44
Lum (ラム),64.39
"Archiviste, Noé (ノエ・アルシヴェスト)",69.43
"Tatsumi, Koutarou (巽 幸太郎)",62.66
"Akiyama, Mio (秋山 澪)",69.94
"Shiina, Mahiru (椎名 真昼)",65.39
Maomao (猫猫),70.54
"Kiryuuin, Satsuki (鬼龍院 皐月)",69.16
"Ryuu, Jusetsu (柳 寿雪)",63.39
"Kochou, Shinobu (胡蝶 しのぶ)",71.08
"Kotoishi, Naru (琴石 なる)",68.82
"Speedwagon, Robert E. O. (ロバート・E・O・スピードワゴン)",66.88
"Saotome, Ranma (早乙女 乱馬)",62.48
"Katou, Megumi (加藤 恵)",71.34
"Sento, Isuzu (千斗 いすず)",65.48
"Strife, Cloud (クラウド・ストライフ)",64.88
"Nendou, Riki (燃堂 力)",66.53
"Yaguchi, Yatora (矢口 八虎)",65.27
"Ogino, Chihiro (荻野 千尋)",64.25
"Konno, Yuuki (紺野 木綿季)",72.38
"Nagumo, Hajime (南雲 ハジメ)",65.55
"Satou, Mafuyu (佐藤 真冬)",68.92
"Sung, Jin-Woo (성 진우)",68.35
"Kirishima, Eijirou (切島 鋭児郎)",68.81
"Hirasawa, Yui (平沢 唯)",71.33
"Michaelis, Sebastian (セバスチャン・ミカエリス)",70.71
"Amane, Misa (弥 海砂)",68.1
Yato (夜ト),71.96
"Mashiro, Moritaka (真城 最高)",62.19
"Oga, Tatsumi (男鹿 辰巳)",64.56
"Plisetsky, Yuri (ユーリ・プリセツキー)",68.29
