Nama,Nilai_Ujian
Ouzen (オーゼン),67.63256
"Yuigahama, Yui (由比ヶ浜 結衣)",70.21023
Hiei (飛影),70.422455
Dabi (荼毘),68.3887
"Nikiforov, Victor (ヴィクトル・ニキフォロフ)",68.6705
"Enoshima, Junko (江ノ島 盾子)",68.276436
Zeke (ジーク),64.471825
"Cha, Hae-In (차해인)",65.57506
"Toga, Himiko (渡我 被身子)",68.957954
"Kishibe, Rohan (岸辺 露伴)",68.2905
"Miyamura, Izumi (宮村 伊澄)",69.531425
"Hijikata, Toushirou (土方 十四郎)",67.12579
"Forger, Anya (アーニャ・フォージャー)",70.01478
"River, Nate (ネイト・リバー)",68.09653
"Uchiha, Madara (うちはマダラ)",72.26846
"Kusakabe, Shinra (森羅 日下部)",64.9344
"Spiegel, Spike (スパイク・スピーゲル)",74.18963
Ikaros (イカロス),67.327194
"Wong Hau Pepelu Tivrusky IV, Edward (エドワード・ウォン・ハウ・ペペル・チブルスキー4世)",70.99542
"Yuuki, Asuna (結城 明日奈 / アスナ)",71.11057
"Ootori, Kyouya (鳳 鏡夜)",69.072014
"Watanabe, You (渡辺 曜)",60.930565
"Takahashi, Ryousuke (高橋 涼介)",65.131935
"Hiiragi, Shinoa (柊 シノア)",71.86783
"Uenoyama, Ritsuka (上ノ山 立夏)",65.27207
"Matsuno, Chifuyu (松野 千冬)",69.53608
"Kurogane, Ikki (黒鉄 一輝)",63.678658
Raphtalia (ラフタリア),68.940895
"Ootani, Atsushi (大谷敦士)",64.27957
Lancer (ランサー),62.16366
"Kyan, Reki (喜屋武 暦)",66.64027
Lum (ラム),63.475796
"Archiviste, Noé (ノエ・アルシヴェスト)",65.10117
"Tatsumi, Koutarou (巽 幸太郎)",60.100838
"Akiyama, Mio (秋山 澪)",72.73634
"Shiina, Mahiru (椎名 真昼)",64.96292
Maomao (猫猫),71.150536
"Kiryuuin, Satsuki (鬼龍院 皐月)",68.83653
"Ryuu, Jusetsu (柳 寿雪)",61.917347
"Kochou, Shinobu (胡蝶 しのぶ)",71.81808
"Kotoishi, Naru (琴石 なる)",67.3924
"Speedwagon, Robert E. O. (ロバート・E・O・スピードワゴン)",66.249886
"Saotome, Ranma (早乙女 乱馬)",62.196285
"Katou, Megumi (加藤 恵)",68.584015
"Sento, Isuzu (千斗 いすず)",64.977905
"Strife, Cloud (クラウド・ストライフ)",65.76852
"Nendou, Riki (燃堂 力)",64.822
"Yaguchi, Yatora (矢口 八虎)",64.19681
